emotion,datetime
sad,2022-11-20 09:27:05.124796
sad,2022-11-20 09:27:08.804286
happy,2022-11-20 09:27:12.562939
surprise,2022-11-20 09:29:31.454030
angry,2022-11-20 09:29:34.472449
angry,2022-11-20 09:29:37.963870
disgust,2022-11-20 09:29:41.456667
sad,2022-11-20 09:29:45.094994
angry,2022-11-20 09:29:48.751816
happy,2022-11-20 09:29:52.486394
happy,2022-11-20 09:29:55.690628
happy,2022-11-20 10:29:11.329754
sad,2022-11-20 10:29:14.436570
sad,2022-11-20 10:29:17.395254
happy,2022-11-20 10:29:20.340780
sad,2022-11-20 10:29:26.264669
sad,2022-11-20 10:29:29.221901
sad,2022-11-20 10:29:32.229935
sad,2022-11-20 10:29:35.233091
sad,2022-11-20 10:29:38.219618
sad,2022-11-20 10:29:41.218775
sad,2022-11-20 10:29:44.188799
sad,2022-11-20 10:29:47.118089
sad,2022-11-20 10:29:50.101621
sad,2022-11-20 10:29:53.063765
sad,2022-11-20 10:29:58.891455
sad,2022-11-20 10:30:07.632313
sad,2022-11-20 10:30:33.434606
sad,2022-11-20 10:30:36.446617
sad,2022-11-20 10:30:42.253930
sad,2022-11-20 10:30:48.067335
sad,2022-11-20 10:30:56.732943
sad,2022-11-20 10:30:59.726361
happy,2022-11-20 10:31:02.702683
sad,2022-11-20 10:31:05.695711
disgust,2022-11-20 10:31:11.512390
sad,2022-11-20 10:31:14.453500
happy,2022-11-20 10:31:17.395025
neutral,2022-11-20 10:31:20.307296
sad,2022-11-20 10:31:40.394329
sad,2022-11-20 10:31:51.889083
happy,2022-11-20 10:31:54.842086
sad,2022-11-20 10:33:09.114214
sad,2022-11-20 10:33:12.150217
sad,2022-11-20 10:33:15.132118
sad,2022-11-20 10:33:18.101531
sad,2022-11-20 10:33:21.074919
fear,2022-11-20 10:33:24.041753
sad,2022-11-20 10:33:29.892133
sad,2022-11-20 10:33:32.832267
sad,2022-11-20 10:33:35.795868
happy,2022-11-20 10:33:41.645646
sad,2022-11-20 10:33:44.709492
sad,2022-11-20 10:33:47.699520
sad,2022-11-20 10:33:50.731574
fear,2022-11-20 10:33:53.713193
sad,2022-11-20 10:33:56.705309
fear,2022-11-20 10:33:59.676472
fear,2022-11-20 10:34:50.812638
happy,2022-11-20 10:35:07.915812
happy,2022-11-20 10:35:13.633705
happy,2022-11-20 10:35:19.323272
sad,2022-11-20 10:35:22.204925
happy,2022-11-20 10:35:25.095486
sad,2022-11-20 10:35:30.922657
happy,2022-11-20 10:36:33.176892
sad,2022-11-20 10:36:38.959491
happy,2022-11-20 10:37:27.032831
sad,2022-11-20 10:37:30.013866
happy,2022-11-20 10:37:33.003699
disgust,2022-11-20 10:37:35.960142
sad,2022-11-20 10:37:38.915577
sad,2022-11-20 10:37:41.844916
fear,2022-11-20 10:37:44.819033
sad,2022-11-20 10:37:47.770164
sad,2022-11-20 10:37:50.787350
sad,2022-11-20 10:37:53.772534
sad,2022-11-20 10:37:56.680553
disgust,2022-11-20 10:38:05.485565
neutral,2022-11-20 10:38:08.539105
sad,2022-11-20 10:38:11.600652
sad,2022-11-20 10:38:14.575014
sad,2022-11-20 10:38:17.581199
happy,2022-11-20 10:38:20.495278
sad,2022-11-20 10:38:46.616146
sad,2022-11-20 10:38:49.575859
sad,2022-11-20 10:38:52.579088
sad,2022-11-20 10:38:55.570809
sad,2022-11-20 10:39:01.401936
happy,2022-11-20 10:39:04.327905
neutral,2022-11-20 10:42:47.587138
neutral,2022-11-20 10:43:04.733745
sad,2022-11-20 10:43:07.625950
fear,2022-11-20 10:43:21.957183
happy,2022-11-20 10:43:24.883436
happy,2022-11-20 10:43:27.813214
happy,2022-11-20 10:43:30.733162
sad,2022-11-20 10:43:33.769704
sad,2022-11-20 10:43:36.742240
sad,2022-11-20 10:43:45.438271
happy,2022-11-20 10:43:48.412981
sad,2022-11-20 10:43:57.188185
sad,2022-11-20 10:44:00.152900
happy,2022-11-20 10:44:03.113423
happy,2022-11-20 10:44:08.904693
sad,2022-11-20 10:44:14.692551
happy,2022-11-20 10:45:43.448240
happy,2022-11-20 10:45:46.438877
sad,2022-11-20 10:45:49.379327
fear,2022-11-20 10:46:06.841682
sad,2022-11-20 10:46:12.932808
sad,2022-11-20 10:46:31.014115
sad,2022-11-20 10:46:37.030315
happy,2022-11-20 10:46:42.969898
disgust,2022-11-20 10:46:49.091438
happy,2022-11-20 10:47:01.082998
happy,2022-11-20 10:47:07.190473
sad,2022-11-20 10:47:19.293499
sad,2022-11-20 10:47:25.370063
happy,2022-11-20 10:47:31.440911
sad,2022-11-20 10:47:37.471192
happy,2022-11-20 10:47:41.353954
sad,2022-11-20 10:47:47.060596
sad,2022-11-20 10:47:52.672467
sad,2022-11-20 10:47:58.376271
happy,2022-11-20 10:48:01.325014
happy,2022-11-20 10:48:12.623190
sad,2022-11-20 10:48:18.169101
sad,2022-11-20 10:48:21.001420
sad,2022-11-20 10:48:35.028752
sad,2022-11-20 10:48:48.818402
sad,2022-11-20 10:51:01.102149
happy,2022-11-20 10:51:04.078702
neutral,2022-11-20 10:51:09.815820
sad,2022-11-20 10:51:15.655756
sad,2022-11-20 10:51:18.611383
sad,2022-11-20 10:51:21.545381
sad,2022-11-20 10:51:24.509911
sad,2022-11-20 10:51:27.481158
sad,2022-11-20 10:51:30.441524
sad,2022-11-20 10:51:36.331601
sad,2022-11-20 10:51:39.286489
neutral,2022-11-20 10:51:42.225907
happy,2022-11-20 10:51:45.227123
sad,2022-11-20 10:51:48.233154
happy,2022-11-20 10:51:51.223182
happy,2022-11-20 10:51:57.080217
sad,2022-11-20 10:52:03.002763
sad,2022-11-20 10:52:05.988791
sad,2022-11-20 10:52:09.005824
happy,2022-11-20 10:52:23.370069
sad,2022-11-20 10:52:26.327091
happy,2022-11-20 10:52:29.304757
sad,2022-11-20 10:52:32.246227
sad,2022-11-20 10:52:35.234917
sad,2022-11-20 10:52:38.185126
sad,2022-11-20 10:52:43.998436
disgust,2022-11-20 10:53:50.045137
happy,2022-11-20 10:53:52.987146
happy,2022-11-20 10:53:55.939171
happy,2022-11-20 10:53:58.929339
sad,2022-11-20 10:54:01.890905
sad,2022-11-20 10:54:04.848765
sad,2022-11-20 10:54:07.844474
sad,2022-11-20 10:54:10.817378
happy,2022-11-20 10:54:13.842383
sad,2022-11-20 10:54:22.615051
fear,2022-11-20 10:54:25.580070
sad,2022-11-20 10:54:28.549595
sad,2022-11-20 10:54:40.258385
sad,2022-11-20 10:54:46.074192
happy,2022-11-20 10:54:49.096724
sad,2022-11-20 10:55:07.243198
disgust,2022-11-20 10:55:10.237593
sad,2022-11-20 10:55:33.173605
sad,2022-11-20 10:55:36.117468
happy,2022-11-20 10:55:41.909001
disgust,2022-11-20 10:55:47.698035
sad,2022-11-20 10:56:07.733406
sad,2022-11-20 10:56:13.522316
fear,2022-11-20 10:58:15.735672
sad,2022-11-20 10:58:18.681942
happy,2022-11-20 10:59:44.161620
sad,2022-11-20 10:59:47.156150
sad,2022-11-20 10:59:50.116172
happy,2022-11-20 11:00:04.447456
sad,2022-11-20 11:00:13.141709
happy,2022-11-20 11:00:16.084911
sad,2022-11-20 11:00:24.920224
sad,2022-11-20 11:00:27.926641
sad,2022-11-20 11:00:30.961176
sad,2022-11-20 11:00:33.907041
sad,2022-11-22 13:22:54.506446
disgust,2022-11-22 13:22:59.075961
sad,2022-11-22 13:23:03.609837
sad,2022-11-22 13:23:07.921774
neutral,2022-11-22 13:23:12.363664
happy,2022-11-22 13:23:16.735387
sad,2022-11-22 13:23:25.468396
sad,2022-11-22 13:23:29.987169
sad,2022-11-22 13:23:34.478455
happy,2022-11-22 13:23:40.127652
sad,2022-11-22 13:23:51.695753
sad,2022-11-22 13:23:56.610903
happy,2022-11-22 13:24:01.134745
happy,2022-11-22 13:24:05.585517
neutral,2022-11-22 13:24:11.724622
happy,2022-11-22 13:24:18.273913
disgust,2022-11-22 13:24:25.296865
happy,2022-11-22 13:24:31.827826
happy,2022-11-22 13:24:38.488866
happy,2022-11-22 13:24:45.078547
disgust,2022-11-22 13:24:50.396848
happy,2022-11-22 13:24:54.809524
happy,2022-11-22 13:24:59.183994
happy,2022-11-22 13:25:03.581465
happy,2022-11-22 13:25:08.015722
happy,2022-11-22 13:25:12.789276
neutral,2022-11-22 14:22:40.009204
sad,2022-11-22 14:22:44.245127
sad,2022-11-22 14:22:48.885275
neutral,2022-11-22 14:22:53.543045
sad,2022-11-22 14:23:00.007557
neutral,2022-12-29 15:28:26.847979
surprise,2022-12-29 15:29:04.696098
sad,2022-12-29 15:31:22.661068
disgust,2022-12-29 15:32:49.270337
happy,2022-12-29 15:32:55.769848
fear,2022-12-29 15:33:01.524357
sad,2022-12-29 15:33:07.718370
disgust,2022-12-29 15:33:14.074461
disgust,2022-12-29 15:33:20.359571
sad,2022-12-29 15:33:26.614135
sad,2022-12-29 15:33:32.554198
sad,2022-12-29 15:33:38.669154
angry,2022-12-29 15:33:44.766440
sad,2022-12-29 15:33:50.969145
neutral,2022-12-29 15:33:57.235377
sad,2022-12-29 15:34:03.721138
surprise,2022-12-29 15:34:28.837891
sad,2022-12-29 15:34:34.510304
sad,2022-12-29 15:34:39.843482
sad,2022-12-29 15:34:46.015754
sad,2022-12-29 15:34:51.941548
sad,2022-12-29 15:34:57.701275
disgust,2022-12-29 15:35:03.703249
sad,2022-12-29 15:35:09.417136
sad,2022-12-29 15:35:15.406220
sad,2022-12-29 15:35:21.262413
sad,2022-12-29 15:42:54.513256
sad,2022-12-29 15:43:01.116511
sad,2022-12-29 15:43:07.669731
sad,2022-12-29 15:43:14.002971
sad,2022-12-29 15:43:20.473398
sad,2022-12-29 15:43:26.677392
sad,2022-12-29 15:43:32.968258
sad,2022-12-29 15:43:39.265397
sad,2022-12-29 15:43:45.369076
neutral,2022-12-29 15:43:51.501085
sad,2022-12-29 15:43:57.705136
sad,2022-12-29 15:44:03.906514
sad,2022-12-29 15:44:10.020495
sad,2022-12-29 15:44:16.090653
disgust,2022-12-29 15:44:22.312019
disgust,2022-12-29 15:44:28.523013
disgust,2022-12-29 15:44:34.747452
sad,2022-12-29 15:44:41.017211
sad,2022-12-29 15:44:47.248737
fear,2022-12-29 15:44:53.480747
angry,2022-12-29 15:44:59.707725
sad,2022-12-29 15:45:06.447781
disgust,2022-12-29 15:45:12.763637
